dim	coefficient
0	0.0722365976664379
1	0.03022211737733453
2	0.017766296487006006
3	0.010716710893046391
4	0.05687144910725106
5	0.05296796990438776
6	0.05143707549112983
7	0.06756501789391331
8	-0.003304093293928971
9	0.05547816273215765
10	0.004422913182301348
11	0.00797855128952911
12	-0.010990514720764427
13	0.0633811512579969
14	0.08408167892783538
15	0.03733631404659802
16	-0.03426460009595917
17	0.061254201220025464
18	-0.01388166172979141
19	0.031464953761830575
20	-0.015513492612779317
21	0.10977398979007255
22	0.05056379093868623
23	0.014483552401420907
24	-0.004680897472529828
25	0.03841684522631443
26	0.11042848356421121
27	-0.00519826239414873
28	-0.055689130055966804
29	0.02285392530239208
30	0.12178739853690476
31	0.04339022308091052
32	-0.024045048907896126
33	-0.1070396665548689
34	-0.07463725649594719
35	0.036246303140300175
36	-0.023402670248982467
37	0.06734698117752172
38	0.04769268470946504
39	0.029530980231702357
40	0.00886504395282188
41	0.0016693988346543065
42	0.04618239187792317
43	-0.07055993157760242
44	-0.007908618284540592
45	-0.04804451367798669
46	0.03261716160910466
47	0.06699359932083504
48	0.08971494664389779
49	-0.0811147476028693
50	0.02982786159778761
51	-0.026769893067490096
52	-0.02005925024815386
53	-0.030752825325404735
54	-0.0025375453576227253
55	-0.024121087908464765
56	0.0049262960452892204
57	0.0303486601459288
58	-0.0018609317143958347
59	0.005449104270351977
60	0.009290693908122802
61	0.05165655873840413
62	0.015917182214584102
63	0.06825948835289793
64	-0.05664157018502707
65	-0.038594915090155335
66	-0.07302742975888168
67	0.0017367846754252764
68	0.027158040702749565
69	-0.01659784809828602
70	0.018215478422962353
71	-0.054241129920206424
72	0.09592273857598557
73	0.024191542992363962
74	0.13131310788241404
75	-0.012562030135584684
76	-0.035267242998954
77	0.041157614944306045
78	0.07262452493703912
79	-0.0017384706899798846
80	-0.021525265328993185
81	-0.09936485743590044
82	-0.05547249882742725
83	-0.050339856897769666
84	0.06857850649427623
85	0.05685254366680671
86	-0.030238473262810463
87	0.05522858410457494
88	0.04855060963438345
89	0.028667713669575406
90	0.04200785016828505
91	0.09528029292576333
92	0.01667659332798915
93	0.07673274206077796
94	0.019662742281048678
95	0.040447931356040634
96	-0.10531403541646296
97	0.04794587819072168
98	-0.00910520402474606
99	-0.05655476671388604
100	0.04404564968903282
101	0.019340530213148854
102	0.007559840589354272
103	-0.09561943060937673
104	-0.044765285231997166
105	0.09657284429873103
106	-0.021848213509214804
107	0.00423949530148468
108	-0.08265322292823482
109	0.01685797721987074
110	0.060192419191043504
111	-0.029812792785581986
112	0.006403295488563932
113	0.09084266234336053
114	0.003913092985225882
115	0.013103094243747412
116	-0.039290856996052184
117	0.03311153522800819
118	0.0276066483747578
119	0.00874513849452814
120	-0.010434771147136826
121	-0.03997419783458113
122	0.0026030509794214146
123	0.05486960286877932
124	0.07309779178419402
125	0.008817436016407932
126	0.0032353917047085786
127	-0.017906273884820086
128	0.03826510609564437
129	0.06003862097832208
130	0.028538648233911106
131	-0.061171388049241625
132	0.041908533431807254
133	-0.06627682348388472
134	0.10004118576941305
135	0.039496735176132954
